fold,train_weeks,test_start,test_end,LGBA_MAE,LGBA_RMSE,LGBA_MAPE,LGBA_R2,LGBB_MAE,LGBB_RMSE,LGBB_MAPE,LGBB_R2,LGBC_MAE,LGBC_RMSE,LGBC_MAPE,LGBC_R2
1,104,2016-01-31,2016-02-21,22.30763028047503,26.47125255565962,33.53133397917774,-2.279214796679806,19.26613959423387,22.79803443924644,28.989342269809864,-1.432291894907595,18.276617119071112,21.555761429477293,27.36156683077864,-1.1744409514105456
2,108,2016-02-28,2016-03-20,25.869126807751712,28.79687994652825,41.20073507947593,-1.186579550836548,23.99912784768385,25.627869319512737,43.47251825373804,-0.7318066865076396,21.729510817271006,24.034369463936937,42.732858589543405,-0.5231401859697413
3,112,2016-03-27,2016-04-17,17.93373246371464,20.26373016204303,28.73878453855957,-3.6136939334841838,18.5649404346615,21.306411704727427,30.245721076210728,-4.100709884621864,20.50623212216186,24.047326127763895,32.81711884516613,-5.497459481966697
4,116,2016-04-24,2016-05-15,16.965303176547337,21.523550124234518,132.59441950888663,-2.3045971284917397,14.556183091784753,17.4178494061944,97.18823573346506,-1.1641121921488482,11.600671447233651,15.155518417055923,93.05382465644942,-0.6384466410323406
5,120,2016-05-22,2016-06-12,10.019881246921631,11.454351433902477,26.77870629319016,-0.6555478456951891,7.112011651705974,8.599623936855275,22.330768182905995,0.06683240561092452,7.835336216721805,9.84500066535303,23.867948628116135,-0.22301625363787503
6,124,2016-06-19,2016-07-10,16.160198929147775,18.553634021981658,80.20331795242886,-1.1054271279610721,14.932406312261051,15.036997583410521,60.21016727058657,-0.382943708400574,18.277071020309727,20.2367043192064,59.58721866587167,-1.5047351786115404
7,128,2016-07-17,2016-08-07,16.196752524766502,20.759825631533218,75.86270360249954,-0.1471511835013506,13.578329442469698,16.874919232801687,46.28200373345476,0.24202189555526787,17.201629323676425,20.95902014509593,65.27136248976223,-0.16927107088347904
8,132,2016-08-14,2016-09-04,10.093314286353134,11.288412821135617,67.27645750144544,-14.563757437603542,3.9845507132301714,4.46937121929318,23.92724833076672,-1.4397287445308344,7.259446064793182,7.360281534851986,45.48614797461992,-5.616640521805571
9,136,2016-09-11,2016-10-02,5.028171445499423,7.353797599325913,18.143666603461888,-1.060127205022916,10.89649448826633,13.068080202942424,33.14776741547243,-5.505703626306122,6.327059855466289,6.872641108239883,19.057220255595933,-0.7993598401016655
10,140,2016-10-09,2016-10-30,12.433304010842708,13.886444400110085,27.101965966095854,-0.6887429716680784,14.66053341719381,15.9524521346094,32.54999200758206,-1.2286216013749667,12.26601046828601,14.273910560338221,25.154090803403474,-0.7842979545443678
11,144,2016-11-06,2016-11-27,14.656181004501272,17.482929374637436,50.49446393877092,-2.2865894571888234,17.149663030462875,19.187040881210795,51.17994306334741,-2.95852191158338,7.4039129045647964,10.819009521127393,29.17540858944846,-0.25861254858328153
12,148,2016-12-04,2016-12-25,24.037839375090485,26.612251284457695,40.08690962134093,-0.6052402174293703,24.545322369963845,25.519856735365185,45.74782401389275,-0.4761594283463695,31.0459529421583,34.588701402753735,47.74851638709472,-1.7117229403119039
13,152,2017-01-01,2017-01-22,7.077242752831077,9.292486698612812,15.589343427171528,-0.19075326956915606,8.059225077709172,11.061083720702644,22.378269097954,-0.6871482485431188,8.696603217975156,11.491736903985561,23.448577939990404,-0.8210808837525674
14,156,2017-01-29,2017-02-19,12.206788875810561,15.984242402673429,40.307765201033185,-0.20048290707901528,15.866794265985847,18.679809924013263,64.42419526794303,-0.6395202014033083,16.13740208944455,20.39362797782427,71.4157872074669,-0.9541632959598354
15,160,2017-02-26,2017-03-19,9.27224408055244,10.9724868563135,33.19536096423032,-0.03621704410519633,8.899882381502886,11.5005633656725,29.577433590588114,-0.1383578933004701,8.743082756247286,11.967952037852125,23.854668852731862,-0.23276493581778457
16,164,2017-03-26,2017-04-16,20.735180747480086,23.171366074107116,51.22032746877385,-1.5266456740719159,18.424767046952937,22.90815080838457,41.242540486997115,-1.4695688162808973,17.02050031794041,20.05873431268058,40.34838969710589,-0.89342504577275
17,168,2017-04-23,2017-05-14,11.136529577775326,13.074633159899562,40.8369313071255,-0.044125815177529004,8.505569435911998,11.73941373200022,38.314326954911756,0.15824321474025738,12.58471141202971,15.382604502011215,50.787925070342666,-0.44528520423774887
