week_date,actual_R03,pred_A,pred_B,fold,train_weeks,iso_week,seasonal_mean,in_off_season,pred_switched
2016-01-31,62.0,28.736949920654297,44.3071403503418,1,104,4,55.604166667499996,False,44.3071403503418
2016-02-07,37.0,26.26693725585937,41.69874954223633,1,104,5,36.866666666,False,41.69874954223633
2016-02-14,78.0,61.3935432434082,48.4597282409668,1,104,6,48.65,False,48.4597282409668
2016-02-21,60.0,28.966588973999023,32.87327194213867,1,104,7,41.8,False,32.87327194213867
2016-02-28,67.0,56.5669174194336,58.147499084472656,2,108,8,55.4,False,58.147499084472656
2016-03-06,28.0,62.50128936767578,38.59524154663086,2,108,9,39.6,False,38.59524154663086
2016-03-13,62.0,30.19714736938477,32.40685272216797,2,108,10,36.6,False,32.40685272216797
2016-03-20,81.0,43.57075119018555,37.11520004272461,2,108,11,47.6,False,37.11520004272461
2016-03-27,52.0,48.67781066894531,39.29166030883789,3,112,12,45.2,False,39.29166030883789
2016-04-03,74.0,59.35895919799805,54.03865814208984,3,112,13,46.4,False,54.03865814208984
2016-04-10,60.0,31.798667907714844,33.52793884277344,3,112,14,41.8,False,33.52793884277344
2016-04-17,50.0,38.244571685791016,32.76582336425781,3,112,15,44.4,False,32.76582336425781
2016-04-24,40.0,67.95217895507812,39.9538688659668,4,116,16,25.775,False,39.9538688659668
2016-05-01,25.0,37.51919555664063,26.445186614990234,4,116,17,32.2,False,26.445186614990234
2016-05-08,9.0,33.61441421508789,19.97960662841797,4,116,18,24.6,False,19.97960662841797
2016-05-15,35.0,31.73948097229004,22.118785858154297,4,116,19,26.2,False,22.118785858154297
2016-05-22,46.0,26.207195281982425,25.19202041625977,5,120,20,34.8,False,25.19202041625977
2016-05-29,21.0,30.734838485717773,27.43308448791504,5,120,21,21.0,False,27.43308448791504
2016-06-05,35.0,29.88116836547852,23.44246864318848,5,120,22,38.8,True,38.8
2016-06-12,36.0,24.06736946105957,21.45862197875977,5,120,23,33.6,True,33.6
2016-06-19,42.0,40.19633102416992,41.29565048217773,6,124,24,28.8,True,28.8
2016-06-26,22.0,21.45608901977539,52.61019134521485,6,124,25,33.6,True,33.6
2016-07-03,45.0,27.64378929138184,33.101810455322266,6,124,26,27.8,True,27.8
2016-07-10,15.0,34.51936340332031,42.19895553588867,6,124,27,27.2,True,27.2
2016-07-17,21.0,27.93097877502441,18.30276298522949,7,128,28,21.0,True,21.0
2016-07-24,10.0,25.407129287719727,28.39358711242676,7,128,29,16.8,True,16.8
2016-07-31,30.0,33.17372131347656,10.163372039794922,7,128,30,11.2,True,11.2
2016-08-07,62.0,30.823705673217773,27.93138694763184,7,128,31,19.6,True,19.6
2016-08-14,13.0,25.828256607055664,27.596981048583984,8,132,32,10.4,True,10.4
2016-08-21,17.0,23.26504135131836,28.966289520263672,8,132,33,15.0,True,15.0
2016-08-28,21.0,25.819494247436523,25.951669692993164,8,132,34,17.0,True,17.0
2016-09-04,16.0,25.61254501342773,24.77644157409668,8,132,35,13.75,True,13.75
2016-09-11,26.0,24.05611038208008,39.236515045166016,9,136,36,16.25,True,16.25
2016-09-18,37.0,32.91106414794922,54.14592742919922,9,136,37,29.75,True,29.75
2016-09-25,29.0,35.58405303955078,14.752341270446776,9,136,38,27.25,True,27.25
2016-10-02,38.0,30.858644485473636,50.428367614746094,9,136,39,38.75,True,38.75
2016-10-09,46.0,24.341102600097656,28.62286949157715,10,140,40,56.5,False,28.62286949157715
2016-10-16,59.0,59.89057159423828,32.79283905029297,10,140,41,45.75,False,32.79283905029297
2016-10-23,47.0,25.622467041015625,27.44230079650879,10,140,42,37.75,False,27.44230079650879
2016-10-30,29.0,45.571048736572266,23.116872787475582,10,140,43,43.0,False,23.116872787475582
2016-11-06,42.0,20.696752548217773,23.811256408691406,11,144,44,37.25,False,23.811256408691406
2016-11-13,36.0,24.41803359985352,20.855852127075195,11,144,45,36.25,False,20.855852127075195
2016-11-20,22.0,64.37644958496094,32.40361404418945,11,144,46,45.75,False,32.40361404418945
2016-11-27,48.0,24.877485275268555,23.75126266479492,11,144,47,34.75,False,23.75126266479492
2016-12-04,55.0,57.715518951416016,47.26752471923828,12,148,48,33.5,False,47.26752471923828
2016-12-11,71.0,34.751426696777344,45.2293701171875,12,148,49,50.0,False,45.2293701171875
2016-12-18,88.0,34.02582931518555,51.56794357299805,12,148,50,53.75,False,51.56794357299805
2016-12-25,31.0,45.50727844238281,36.63941955566406,12,148,51,36.5,False,36.63941955566406
2017-01-01,55.25,35.05831527709961,35.790138244628906,13,152,52,55.5625,False,35.790138244628906
2017-01-08,47.65625,47.00630569458008,31.711328506469727,13,152,1,36.7265625,False,31.711328506469727
2017-01-15,31.66666667,39.31243515014648,69.84564208984375,13,152,2,33.916666667499996,False,69.84564208984375
2017-01-22,45.41666667,47.49372863769531,54.16915893554688,13,152,3,49.604166667499996,False,54.16915893554688
2017-01-29,55.41666667,18.54134559631348,35.78104019165039,14,156,4,55.604166667499996,False,35.78104019165039
2017-02-05,44.33333333,51.11880493164063,44.73291015625,14,156,5,36.866666666,False,44.73291015625
2017-02-12,27.0,17.10723876953125,36.166778564453125,14,156,6,48.65,False,36.166778564453125
2017-02-19,18.0,34.22133255004883,38.60554885864258,14,156,7,41.8,False,38.60554885864258
2017-02-26,36.0,47.24978256225586,23.915306091308597,15,160,8,55.4,False,23.915306091308597
2017-03-05,48.0,22.32571029663086,25.024320602416992,15,160,9,39.6,False,25.024320602416992
2017-03-12,20.0,43.28599548339844,34.184356689453125,15,160,10,36.6,False,34.184356689453125
2017-03-19,25.0,23.06624984741211,26.625089645385746,15,160,11,47.6,False,26.625089645385746
2017-03-26,31.0,41.09681701660156,29.493600845336918,16,164,12,45.2,False,29.493600845336918
2017-04-02,20.0,25.688819885253903,26.397686004638672,16,164,13,46.4,False,26.397686004638672
2017-04-09,47.0,18.75506591796875,26.43268775939941,16,164,14,41.8,False,26.43268775939941
2017-04-16,58.0,18.0977725982666,27.513694763183597,16,164,15,44.4,False,27.513694763183597
2017-04-23,17.875,39.34965133666992,35.767730712890625,17,168,16,25.775,False,35.767730712890625
2017-04-30,48.0,49.62794876098633,51.458866119384766,17,168,17,32.2,False,51.458866119384766
2017-05-07,44.0,44.73743438720703,37.32856369018555,17,168,18,24.6,False,37.32856369018555
2017-05-14,24.0,54.92692947387695,25.67229652404785,17,168,19,26.2,False,25.67229652404785
2017-05-21,27.0,32.670780181884766,20.332305908203125,18,172,20,34.8,False,20.332305908203125
2017-05-28,23.0,69.75936889648438,42.37847900390625,18,172,21,21.0,False,42.37847900390625
2017-06-04,44.0,28.703229904174805,29.12679481506348,18,172,22,38.8,True,38.8
2017-06-11,37.0,20.064165115356445,26.1136474609375,18,172,23,33.6,True,33.6
2017-06-18,40.0,41.02531433105469,36.03078842163086,19,176,24,28.8,True,28.8
2017-06-25,23.0,21.479080200195312,39.061824798583984,19,176,25,33.6,True,33.6
2017-07-02,39.0,46.51620864868164,34.600975036621094,19,176,26,27.8,True,27.8
2017-07-09,37.0,34.03270721435547,59.41523361206055,19,176,27,27.2,True,27.2
2017-07-16,25.0,42.75376892089844,31.17071914672852,20,180,28,21.0,True,21.0
2017-07-23,31.0,23.727569580078125,30.405139923095703,20,180,29,16.8,True,16.8
2017-07-30,7.0,30.37332344055176,44.88240814208984,20,180,30,11.2,True,11.2
2017-08-06,13.0,6.980103492736816,26.9422550201416,20,180,31,19.6,True,19.6
2017-08-13,12.0,33.16474151611328,32.316776275634766,21,184,32,10.4,True,10.4
2017-08-20,20.0,10.287331581115724,22.57606315612793,21,184,33,15.0,True,15.0
2017-08-27,23.0,13.17128849029541,28.80636405944824,21,184,34,17.0,True,17.0
