model,MAE,RMSE,MAPE,R2
Baseline (Lag features only),22.580571164136312,30.41934876391125,46.44841143672676,-0.09954102921122354
With FluNet Epidemiological Data,24.322759824440066,32.70930384059377,44.161809546669,-0.2713180625069149
