week_date,R03,R06,flu_au_positives,flu_au_lagged,flu_eu_positives,R03_lag1,R03_lag4_avg,R06_lag1,trends_gripe_es_lag1,trends_resfriado_es_lag1,trends_paracetamol_es_lag1,temp_europe_lag12,humidity_europe_lag0,temp_eu,humidity_eu,trends_gripe_es,trends_flu_eu,trends_flu_composite,RSV,R03_lag4,R03_lag8,R03_lag26,R03_lag52,R03_roll4,R03_roll8,flu_au_lag26,flu_au_lag27,flu_au_lag28,flu_au_roll4_lag26,flu_au_roll8_lag26,flu_eu_lag1,flu_eu_lag2,temp_eu_lag2,temp_eu_lag4,temp_eu_lag8,temp_eu_roll4,trends_flu_eu_lag1,trends_composite_lag1,RSV_lag1,RSV_lag2,RSV_lag4,RSV_lag8,RSV_roll4,week_num,week_sin,week_cos,month_sin,month_cos,year_num
2014-02-02,29.0,12.0,19.0,81.0,2517.0,,26.25,,,44.0,28.000000000000004,0.7972972972972973,82.93050193050193,0.7509652509652511,82.49613899613898,14.000000000000002,9.0,17.333333333333332,1289.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,0
2014-02-09,31.0,6.0,31.0,104.0,2916.0,29.0,25.5,12.0,14.000000000000002,44.0,28.000000000000004,0.7972972972972973,82.97490347490348,0.7972972972972973,82.93050193050193,14.000000000000002,9.0,0.0,1112.0,,,,,29.0,29.0,,,,,,2517.0,,,,,0.7509652509652511,9.0,17.333333333333332,1289.0,,,,1289.0,6.0,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,0
2014-02-16,18.0,16.2,26.0,99.0,3092.0,31.0,28.0,6.0,14.000000000000002,38.0,25.0,0.7972972972972973,82.36679536679537,4.017181467181468,82.97490347490348,14.000000000000002,9.0,0.0,983.0,,,,,30.0,30.0,,,,,,2916.0,2517.0,0.7509652509652511,,,0.7741312741312742,9.0,0.0,1112.0,1289.0,,,1200.5,7.0,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,0
2014-02-23,35.0,7.0,16.0,128.0,3094.0,18.0,25.25,16.2,14.000000000000002,38.0,25.0,0.7972972972972973,81.92471042471043,5.577220077220077,82.36679536679537,14.000000000000002,9.0,0.0,891.0,,,,,26.0,26.0,,,,,,3092.0,2916.0,0.7972972972972973,,,1.8551480051480054,9.0,0.0,983.0,1112.0,,,1128.0,8.0,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,0
2014-03-02,16.0,10.1,33.0,159.0,2743.0,35.0,28.25,7.0,14.000000000000002,38.0,25.0,0.7972972972972973,81.76833976833976,6.696332046332047,81.92471042471043,5.0,12.0,14.0,751.0,29.0,,,,28.25,28.25,,,,,,3094.0,3092.0,4.017181467181468,0.7509652509652511,,2.7856660231660233,9.0,0.0,891.0,983.0,1289.0,,1068.75,9.0,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,0
2014-03-09,16.0,9.2,21.0,116.0,2395.0,16.0,25.0,10.1,5.0,38.0,25.0,0.7972972972972973,77.59073359073359,5.655984555984555,81.76833976833976,5.0,12.0,0.0,608.0,31.0,,,,25.0,25.8,,,,,,2743.0,3094.0,5.577220077220077,0.7972972972972973,,4.272007722007722,12.0,14.0,751.0,891.0,1112.0,,934.25,10.0,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,0
2014-03-16,36.0,19.0,21.0,140.0,2034.0,16.0,21.25,9.2,5.0,27.0,24.0,0.7972972972972973,72.1119691119691,6.9496138996139,77.59073359073359,5.0,12.0,0.0,542.0,18.0,,,,21.25,24.166666666666668,,,,,,2395.0,2743.0,6.696332046332047,4.017181467181468,,5.486679536679537,12.0,0.0,608.0,751.0,983.0,,808.25,11.0,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,0
2014-03-23,27.0,23.6,17.0,125.0,1616.0,36.0,25.75,19.0,5.0,27.0,24.0,0.7972972972972973,73.07142857142857,8.243822393822395,72.1119691119691,5.0,12.0,0.0,372.0,35.0,,,,25.75,25.857142857142858,,,,,,2034.0,2395.0,5.655984555984555,5.577220077220077,,6.219787644787645,12.0,0.0,542.0,608.0,891.0,,698.0,12.0,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,0
2014-03-30,29.0,24.5,16.0,125.0,1158.0,27.0,23.75,23.6,5.0,27.0,24.0,0.7972972972972973,73.05405405405406,10.49054054054054,73.07142857142857,5.0,12.0,0.0,360.0,16.0,29.0,,,23.75,26.0,,,,,,1616.0,2034.0,6.9496138996139,6.696332046332047,0.7509652509652511,6.886438223938224,12.0,0.0,372.0,542.0,751.0,1289.0,568.25,13.0,1.0,-1.6081226496766366e-16,1.0,6.123233995736766e-17,0
2014-04-06,27.0,20.0,21.0,73.0,1039.0,29.0,27.0,24.5,5.0,27.0,24.0,0.7972972972972973,73.62162162162163,8.335521235521236,73.05405405405406,3.0,6.0,10.666666666666666,299.0,16.0,31.0,,,27.0,26.0,,,,,,1158.0,1616.0,8.243822393822395,5.655984555984555,0.7972972972972973,7.834990347490347,12.0,0.0,360.0,372.0,608.0,1112.0,470.5,14.0,0.992708874098054,-0.12053668025532288,0.8660254037844387,-0.4999999999999998,0
2014-04-13,22.0,20.3,19.0,82.0,847.0,27.0,29.75,20.0,3.0,27.0,24.0,0.7972972972972973,74.4015444015444,11.280501930501927,73.62162162162163,3.0,6.0,0.0,276.0,36.0,18.0,,,29.75,25.5,,,,,,1039.0,1158.0,10.49054054054054,6.9496138996139,4.017181467181468,8.504874517374517,6.0,10.666666666666666,299.0,360.0,542.0,983.0,393.25,15.0,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,0
2014-04-20,24.0,20.0,17.0,53.0,420.0,22.0,26.25,20.3,3.0,23.0,23.0,0.7972972972972973,67.97490347490347,11.873552123552123,74.4015444015444,3.0,6.0,0.0,207.0,27.0,35.0,,,26.25,26.0,,,,,,847.0,1039.0,8.335521235521236,8.243822393822395,5.577220077220077,9.587596525096524,6.0,0.0,276.0,299.0,372.0,891.0,326.75,16.0,0.9350162426854148,-0.35460488704253545,0.8660254037844387,-0.4999999999999998,0
2014-04-27,16.0,13.0,8.0,42.0,334.0,24.0,25.5,20.0,3.0,23.0,23.0,0.7972972972972973,77.37451737451737,11.23996138996139,67.97490347490347,3.0,6.0,0.0,177.0,29.0,16.0,,,25.5,24.625,,,,,,420.0,847.0,11.280501930501927,10.49054054054054,6.696332046332047,10.495028957528957,6.0,0.0,207.0,276.0,360.0,751.0,285.5,17.0,0.8854560256532099,-0.4647231720437685,0.8660254037844387,-0.4999999999999998,0
2014-05-04,24.0,13.9,9.0,47.0,217.0,16.0,22.25,13.0,3.0,23.0,23.0,4.017181467181468,72.08880308880309,13.641891891891891,77.37451737451737,2.0,6.0,9.0,116.0,27.0,16.0,,,22.25,24.625,,,,,,334.0,420.0,11.873552123552123,8.335521235521236,5.655984555984555,10.68238416988417,6.0,0.0,177.0,207.0,299.0,608.0,239.75,18.0,0.8229838658936565,-0.5680647467311557,0.49999999999999994,-0.8660254037844387,0
2014-05-11,15.0,36.0,16.0,32.0,210.0,24.0,21.5,13.9,2.0,23.0,23.0,5.577220077220077,69.39382239382239,12.567181467181468,72.08880308880309,2.0,6.0,0.0,60.0,22.0,36.0,,,21.5,25.625,,,,,,217.0,334.0,11.23996138996139,11.280501930501927,6.9496138996139,12.008976833976833,6.0,9.0,116.0,177.0,276.0,542.0,194.0,19.0,0.7485107481711013,-0.663122658240795,0.49999999999999994,-0.8660254037844387,0
