month_date,au_R03_prescriptions_lagged,au_R06_prescriptions_lagged
2024-02-25,1189360.0,2416.0
2024-03-03,1128341.0,2353.0
2024-03-10,1128341.0,2353.0
2024-03-17,1128341.0,2353.0
2024-03-24,1128341.0,2353.0
2024-03-31,1147726.0,2398.0
2024-04-07,1147726.0,2398.0
2024-04-14,1147726.0,2398.0
2024-04-21,1147726.0,2398.0
2024-04-28,1147726.0,2398.0
2024-05-05,1165291.0,2422.0
2024-05-12,1165291.0,2422.0
2024-05-19,1165291.0,2422.0
2024-05-26,1165291.0,2422.0
2024-06-02,1282331.0,2519.0
