week_date,R03,R06,flu_au_positives,flu_au_lagged,flu_eu_positives,R03_lag1,R03_lag4_avg,R06_lag1,trends_gripe_es_lag1,trends_resfriado_es_lag1,trends_paracetamol_es_lag1,temp_europe_lag12,humidity_europe_lag0
2018-01-14,44.0,6.0,30.0,284.0,10215.0,39.0,42.0,16.0,35.0,70.0,59.0,14.668146718146716,83.73745173745174
2018-01-21,75.0,9.5,36.0,437.0,10597.0,44.0,44.5,6.0,17.0,59.0,48.0,12.042857142857144,82.15444015444017
2018-01-28,47.0,13.0,56.0,428.0,11705.0,75.0,55.25,9.5,17.0,59.0,48.0,9.855212355212355,84.9942084942085
2018-02-04,34.0,17.4,53.0,619.0,12485.0,47.0,51.25,13.0,17.0,59.0,48.0,7.971042471042471,82.35521235521234
2018-02-11,71.25,6.66,36.0,817.0,12601.0,34.0,50.0,17.4,17.0,59.0,48.0,7.056370656370656,78.14671814671816
2018-02-18,48.0,6.0,73.0,901.0,13710.0,71.25,56.8125,6.66,7.000000000000001,44.0,43.0,7.661776061776061,81.01930501930504
2018-02-25,70.0,11.0,53.0,876.0,12634.0,48.0,50.0625,6.0,7.000000000000001,44.0,43.0,3.60019305019305,69.49613899613901
2018-03-04,68.0,14.5,37.0,804.0,10752.0,70.0,55.8125,11.0,7.000000000000001,44.0,43.0,4.364864864864865,66.41505791505793
2018-03-11,68.0,16.4,32.0,960.0,10634.0,68.0,64.3125,14.5,7.000000000000001,44.0,43.0,4.715637065637066,82.65250965250966
2018-03-18,61.0,24.0,22.0,869.0,8265.0,68.0,63.5,16.4,4.0,37.0,35.0,4.49015444015444,75.83204633204632
2018-03-25,58.0,17.5,28.0,721.0,6396.0,61.0,66.75,24.0,4.0,37.0,35.0,5.884942084942085,71.65444015444017
2018-04-01,51.0,21.1,25.0,529.0,4404.0,58.0,63.75,17.5,4.0,37.0,35.0,6.513513513513514,77.8880308880309
2018-04-08,60.0,36.5,30.0,347.0,3215.0,51.0,59.5,21.1,4.0,37.0,35.0,3.1849420849420853,70.81467181467181
2018-04-15,52.0,53.5,14.0,228.0,2130.0,60.0,57.5,36.5,3.0,31.0,35.0,3.75965250965251,76.98455598455598
2018-04-22,28.0,38.7,23.0,128.0,1184.0,52.0,55.25,53.5,3.0,31.0,35.0,5.033976833976834,69.26833976833976
2018-04-29,66.0,56.4,18.0,78.0,654.0,28.0,47.75,38.7,3.0,31.0,35.0,5.013899613899613,67.26833976833977
2018-05-06,26.0,65.0,31.0,76.0,321.0,66.0,51.5,56.4,3.0,31.0,35.0,0.9646718146718146,66.34942084942085
2018-05-13,31.0,51.0,32.0,62.0,170.0,26.0,43.0,65.0,3.0,31.0,35.0,3.1125482625482626,65.72779922779922
2018-05-20,47.0,39.4,33.0,49.0,100.0,31.0,37.75,51.0,2.0,23.0,34.0,1.1281853281853282,68.54826254826256
2018-05-27,31.0,37.0,24.0,35.0,38.0,47.0,42.5,39.4,2.0,23.0,34.0,-1.9768339768339769,67.53474903474903
2018-06-03,45.0,41.64,24.0,43.0,24.0,31.0,33.75,37.0,2.0,23.0,34.0,6.565250965250966,68.36293436293435
2018-06-10,23.0,24.4,25.0,30.0,12.0,45.0,38.5,41.64,2.0,23.0,34.0,6.04054054054054,68.86679536679537
2018-06-17,16.0,30.4,44.0,32.0,12.0,23.0,36.5,24.4,1.0,17.0,34.0,3.2023166023166025,66.82239382239382
2018-06-24,29.0,32.6,41.0,30.0,16.0,16.0,28.75,30.4,1.0,17.0,34.0,6.948455598455598,62.83011583011584
2018-07-01,31.0,23.4,72.0,29.0,17.0,29.0,28.25,32.6,1.0,17.0,34.0,10.956756756756755,62.47876447876448
2018-07-08,41.0,33.5,67.0,47.0,9.0,31.0,24.75,23.4,1.0,17.0,34.0,13.05965250965251,60.33011583011582
2018-07-15,11.0,23.4,96.0,30.0,7.0,41.0,29.25,33.5,2.0,25.0,36.0,15.439961389961391,63.5965250965251
2018-07-22,24.0,29.0,73.0,36.0,16.0,11.0,28.0,23.4,2.0,25.0,36.0,14.74054054054054,63.50965250965252
2018-07-29,4.0,25.3,88.0,56.0,11.0,24.0,26.75,29.0,2.0,25.0,36.0,14.414285714285716,59.98648648648649
2018-08-05,9.0,29.3,71.0,53.0,19.0,4.0,20.0,25.3,2.0,25.0,36.0,17.111003861003862,57.25868725868726
2018-08-12,13.0,23.0,119.0,36.0,13.0,9.0,12.0,29.3,2.0,25.0,36.0,15.502123552123551,56.5984555984556
2018-08-19,28.0,20.0,154.0,73.0,17.0,13.0,12.5,23.0,3.0,44.0,39.0,19.017953667953662,63.92277992277992
2018-08-26,79.0,24.8,200.0,53.0,7.0,28.0,13.5,20.0,3.0,44.0,39.0,20.749806949806956,61.36100386100386
2018-09-02,36.0,17.0,210.0,37.0,9.0,79.0,32.25,24.8,3.0,44.0,39.0,19.73513513513513,62.64478764478765
2018-09-09,43.0,21.7,174.0,32.0,14.0,36.0,39.0,17.0,3.0,44.0,39.0,19.543822393822392,69.08108108108108
2018-09-16,42.0,17.4,252.0,22.0,9.0,43.0,46.5,21.7,11.0,60.0,44.0,20.12297297297297,67.4942084942085
2018-09-23,47.0,28.0,240.0,28.0,14.0,42.0,50.0,17.4,11.0,60.0,44.0,20.48513513513513,64.65637065637065
2018-09-30,67.0,17.0,170.0,25.0,8.0,47.0,42.0,28.0,11.0,60.0,44.0,21.97220077220077,62.1003861003861
2018-10-07,63.0,9.1,183.0,30.0,31.0,67.0,49.75,17.0,11.0,60.0,44.0,21.5972972972973,67.80115830115831
2018-10-14,56.0,22.0,118.0,14.0,50.0,63.0,54.75,9.1,11.0,60.0,44.0,22.40830115830116,72.0
2018-10-21,67.0,25.0,83.0,23.0,69.0,56.0,58.25,22.0,10.0,59.0,43.0,24.658494208494208,75.77220077220078
2018-10-28,116.0,14.8,59.0,18.0,77.0,67.0,63.25,25.0,10.0,59.0,43.0,25.53822393822394,74.94015444015443
2018-11-04,46.0,12.3,43.0,31.0,97.0,116.0,75.5,14.8,10.0,59.0,43.0,23.64131274131274,80.0
2018-11-11,93.0,8.9,53.0,32.0,179.0,46.0,71.25,12.3,10.0,59.0,43.0,22.350579150579154,84.54826254826256
2018-11-18,100.0,7.4,70.0,33.0,205.0,93.0,80.5,8.9,8.0,72.0,52.0,21.621814671814672,84.98069498069499
2018-11-25,67.0,11.3,113.0,24.0,227.0,100.0,88.75,7.4,8.0,72.0,52.0,20.34266409266409,87.20270270270271
2018-12-02,70.0,24.5,117.0,24.0,359.0,67.0,76.5,11.3,8.0,72.0,52.0,19.878185328185328,82.2065637065637
2018-12-09,56.0,9.0,189.0,25.0,650.0,70.0,82.5,24.5,8.0,72.0,52.0,19.335135135135136,87.13513513513513
2018-12-16,98.0,10.8,129.0,44.0,1020.0,56.0,73.25,9.0,29.0,96.0,61.0,19.60135135135135,85.14478764478766
2018-12-23,58.0,9.0,145.0,41.0,1964.0,98.0,72.75,10.8,29.0,96.0,61.0,14.406563706563706,88.50772200772201
2018-12-30,96.0,10.3,109.0,72.0,2817.0,58.0,70.5,9.0,29.0,96.0,61.0,14.388803088803089,87.27992277992279
2019-01-06,54.0,11.0,87.0,67.0,3894.0,96.0,77.0,10.3,29.0,96.0,61.0,15.70135135135135,78.21428571428571
2019-01-13,50.0,6.0,102.0,96.0,5712.0,54.0,76.5,11.0,29.0,96.0,61.0,14.103861003861004,82.69691119691119
2019-01-20,121.0,13.0,125.0,73.0,8024.0,50.0,64.5,6.0,21.0,63.0,56.00000000000001,10.964092664092664,82.60617760617761
2019-01-27,93.0,9.0,97.0,88.0,11865.0,121.0,80.25,13.0,21.0,63.0,56.00000000000001,10.408108108108108,82.3976833976834
2019-02-03,131.0,13.7,110.0,71.0,15068.0,93.0,79.5,9.0,21.0,63.0,56.00000000000001,10.665444015444017,84.7876447876448
2019-02-10,62.0,15.7,106.0,119.0,17226.0,131.0,98.75,13.7,21.0,63.0,56.00000000000001,7.691891891891892,80.06756756756758
2019-02-17,35.0,16.6,104.0,154.0,16106.0,62.0,101.75,15.7,7.000000000000001,50.0,46.0,4.58938223938224,76.52316602316603
2019-02-24,31.0,13.3,125.0,200.0,12586.0,35.0,80.25,16.6,7.000000000000001,50.0,46.0,4.535135135135135,72.06177606177606
2019-03-03,57.0,23.9,134.0,210.0,8432.0,31.0,64.75,13.3,7.000000000000001,50.0,46.0,7.026061776061775,71.29536679536679
2019-03-10,26.0,32.6,97.0,174.0,5818.0,57.0,46.25,23.9,7.000000000000001,50.0,46.0,2.854826254826255,72.26061776061776
2019-03-17,88.0,32.0,111.0,252.0,4222.0,26.0,37.25,32.6,4.0,40.0,48.0,5.0679536679536685,70.08108108108108
2019-03-24,74.0,48.0,74.0,240.0,3212.0,88.0,50.5,32.0,4.0,40.0,48.0,4.127413127413128,69.81274131274131
2019-03-31,53.0,49.5,81.0,170.0,2246.0,74.0,61.25,48.0,4.0,40.0,48.0,3.018532818532819,66.53474903474903
2019-04-07,51.0,57.6,98.0,183.0,1670.0,53.0,60.25,49.5,4.0,40.0,48.0,2.545752895752896,65.57722007722008
2019-04-14,42.0,40.5,144.0,118.0,1297.0,51.0,66.5,57.6,4.0,40.0,48.0,2.737644787644787,69.20463320463321
2019-04-21,36.0,33.2,178.0,83.0,934.0,42.0,55.0,40.5,3.0,33.0,41.0,1.262162162162162,62.067567567567565
2019-04-28,62.0,36.4,210.0,59.0,717.0,36.0,45.5,33.2,3.0,33.0,41.0,2.9953667953667957,65.76640926640927
2019-05-05,64.0,45.4,222.0,43.0,379.0,62.0,47.75,36.4,3.0,33.0,41.0,5.273745173745174,68.3030888030888
2019-05-12,123.0,24.0,257.0,53.0,263.0,64.0,51.0,45.4,3.0,33.0,41.0,5.288610038610039,67.63320463320464
2019-05-19,61.29166667,23.4,385.0,70.0,217.0,123.0,71.25,24.0,2.0,25.0,45.0,5.818146718146719,68.94208494208495
2019-05-26,65.0,34.0,686.0,113.0,183.0,61.29166667,77.5729166675,23.4,2.0,25.0,45.0,7.502316602316602,70.34555984555985
2019-06-02,27.0,28.0,707.0,117.0,93.0,65.0,78.3229166675,34.0,2.0,25.0,45.0,9.16138996138996,66.23552123552123
2019-06-09,45.0,28.1,912.0,189.0,66.0,27.0,69.0729166675,28.0,2.0,25.0,45.0,8.20096525096525,64.35328185328186
2019-06-16,23.0,57.0,842.0,129.0,47.0,45.0,49.5729166675,28.1,2.0,18.0,38.0,8.826061776061776,64.1949806949807
2019-06-23,32.0,35.94,891.0,145.0,45.0,23.0,40.0,57.0,2.0,18.0,38.0,9.1,62.22972972972973
2019-06-30,28.0,27.0,1002.0,109.0,38.0,32.0,31.75,35.94,2.0,18.0,38.0,9.68841698841699,53.46718146718147
2019-07-07,17.0,28.8,867.0,87.0,29.0,28.0,32.0,27.0,2.0,18.0,38.0,8.205019305019304,55.8011583011583
2019-07-14,15.0,21.0,662.0,102.0,32.0,17.0,25.0,28.8,2.0,18.0,38.0,12.17934362934363,61.91891891891892
2019-07-21,15.0,28.0,607.0,125.0,20.0,15.0,23.0,21.0,2.0,24.0,42.0,13.942084942084945,59.53281853281853
2019-07-28,30.0,18.4,461.0,97.0,30.0,15.0,18.75,28.0,2.0,24.0,42.0,11.88976833976834,55.66023166023166
2019-08-04,48.0,19.7,381.0,110.0,28.0,30.0,19.25,18.4,2.0,24.0,42.0,12.3496138996139,64.44980694980696
2019-08-11,66.0,20.0,421.0,106.0,21.0,48.0,27.0,19.7,2.0,24.0,42.0,14.052123552123552,61.34555984555984
2019-08-18,35.0,23.0,428.0,104.0,30.0,66.0,39.75,20.0,4.0,43.0,48.0,16.219111969111967,61.53088803088803
2019-08-25,24.0,20.5,476.0,125.0,34.0,35.0,44.75,23.0,4.0,43.0,48.0,18.165830115830115,58.754826254826256
2019-09-01,15.0,27.1,359.0,134.0,33.0,24.0,43.25,20.5,4.0,43.0,48.0,19.739189189189197,59.24131274131275
2019-09-08,15.0,28.5,294.0,97.0,21.0,15.0,35.0,27.1,4.0,43.0,48.0,20.75772200772201,61.27413127413127
2019-09-15,30.0,30.5,224.0,111.0,29.0,15.0,22.25,28.5,11.0,56.99999999999999,48.0,21.88320463320463,64.47297297297298
2019-09-22,26.0,21.0,181.0,74.0,32.0,30.0,21.0,30.5,11.0,56.99999999999999,48.0,25.144208494208492,65.52316602316603
2019-09-29,40.41666667,23.1,159.0,81.0,17.0,26.0,21.5,21.0,11.0,56.99999999999999,48.0,21.844787644787647,76.15250965250966
2019-10-06,30.0,12.13,107.0,98.0,68.0,40.41666667,27.8541666675,23.1,11.0,56.99999999999999,48.0,20.413513513513514,73.65637065637065
2019-10-13,12.0,1.0,100.0,144.0,56.0,30.0,31.6041666675,12.13,11.0,56.99999999999999,48.0,21.882046332046333,73.8880308880309
