time,temperature_2m,relative_humidity_2m
2012-01-01,1.3,92.0
2012-01-08,3.6714285714285713,86.57142857142857
2012-01-15,1.1999999999999997,85.85714285714286
2012-01-22,-1.0714285714285714,86.71428571428571
2012-01-29,-6.085714285714286,79.14285714285714
2012-02-05,-17.47142857142857,72.14285714285714
2012-02-12,-13.771428571428572,75.57142857142857
2012-02-19,-3.8,85.57142857142857
2012-02-26,1.9285714285714286,86.42857142857143
2012-03-04,1.457142857142857,77.85714285714286
2012-03-11,-0.12857142857142856,63.714285714285715
2012-03-18,5.257142857142857,82.0
2012-03-25,7.3999999999999995,73.57142857142857
2012-04-01,5.5,73.42857142857143
2012-04-08,4.457142857142857,73.85714285714286
2012-04-15,7.442857142857143,68.28571428571429
2012-04-22,8.871428571428572,76.85714285714286
2012-04-29,14.5,66.28571428571429
2012-05-06,17.900000000000002,65.57142857142857
2012-05-13,13.200000000000001,68.42857142857143
2012-05-20,11.857142857142858,69.85714285714286
2012-05-27,18.32857142857143,59.142857142857146
2012-06-03,13.7,63.142857142857146
2012-06-10,15.914285714285715,72.14285714285714
2012-06-17,16.814285714285713,76.42857142857143
2012-06-24,19.485714285714288,73.85714285714286
2012-07-01,18.75714285714286,67.28571428571429
2012-07-08,24.114285714285717,76.71428571428571
2012-07-15,19.75714285714286,67.42857142857143
2012-07-22,16.428571428571427,70.14285714285714
2012-07-29,22.414285714285715,66.71428571428571
2012-08-05,21.97142857142857,65.0
2012-08-12,17.728571428571428,72.71428571428571
2012-08-19,17.342857142857145,76.57142857142857
2012-08-26,20.7,74.71428571428571
2012-09-02,17.428571428571427,70.42857142857143
2012-09-09,15.828571428571427,72.85714285714286
2012-09-16,15.671428571428573,73.85714285714286
2012-09-23,13.028571428571428,72.57142857142857
2012-09-30,13.742857142857144,75.42857142857143
2012-10-07,12.87142857142857,77.85714285714286
2012-10-14,8.042857142857143,79.14285714285714
2012-10-21,10.928571428571429,87.42857142857143
2012-10-28,5.142857142857143,80.14285714285714
2012-11-04,3.9857142857142853,87.28571428571429
2012-11-11,6.757142857142857,84.57142857142857
2012-11-18,3.8428571428571425,89.0
2012-11-25,5.2,91.57142857142857
2012-12-02,4.214285714285714,90.0
2012-12-09,-3.057142857142857,81.42857142857143
2012-12-16,-3.6999999999999997,85.42857142857143
2012-12-23,-7.557142857142857,87.85714285714286
2012-12-30,1.4285714285714286,80.85714285714286
2013-01-06,2.242857142857143,83.71428571428571
