time,temperature_2m,relative_humidity_2m
2012-01-01,4.9,84.0
2012-01-08,5.271428571428571,79.85714285714286
2012-01-15,3.0142857142857147,79.42857142857143
2012-01-22,4.557142857142857,80.28571428571429
2012-01-29,4.7,72.28571428571429
2012-02-05,1.6428571428571428,60.57142857142857
2012-02-12,1.6,58.42857142857143
2012-02-19,3.5714285714285716,61.714285714285715
2012-02-26,5.6000000000000005,45.0
2012-03-04,9.799999999999999,57.285714285714285
2012-03-11,8.485714285714286,44.714285714285715
2012-03-18,11.957142857142857,42.857142857142854
2012-03-25,8.942857142857141,50.857142857142854
2012-04-01,13.342857142857143,35.714285714285715
2012-04-08,9.528571428571428,71.14285714285714
2012-04-15,9.985714285714286,60.714285714285715
2012-04-22,10.385714285714286,57.42857142857143
2012-04-29,10.585714285714285,65.71428571428571
2012-05-06,10.5,68.71428571428571
2012-05-13,19.942857142857143,52.857142857142854
2012-05-20,19.514285714285712,40.285714285714285
2012-05-27,19.02857142857143,38.0
2012-06-03,23.957142857142856,28.714285714285715
2012-06-10,22.157142857142855,37.857142857142854
2012-06-17,21.728571428571428,33.285714285714285
2012-06-24,24.02857142857143,36.142857142857146
2012-07-01,26.62857142857143,24.571428571428573
2012-07-08,24.185714285714287,28.571428571428573
2012-07-15,24.6,27.142857142857142
2012-07-22,27.82857142857143,22.714285714285715
2012-07-29,26.52857142857143,35.0
2012-08-05,26.400000000000002,24.142857142857142
2012-08-12,27.8,28.142857142857142
2012-08-19,26.47142857142857,33.57142857142857
2012-08-26,27.02857142857143,27.428571428571427
2012-09-02,22.82857142857143,29.0
2012-09-09,22.942857142857143,36.0
2012-09-16,22.97142857142857,30.714285714285715
2012-09-23,22.928571428571427,43.142857142857146
2012-09-30,14.714285714285714,66.42857142857143
2012-10-07,16.6,62.285714285714285
2012-10-14,17.228571428571428,67.85714285714286
2012-10-21,12.757142857142856,64.85714285714286
2012-10-28,12.157142857142857,74.57142857142857
2012-11-04,9.200000000000001,82.0
2012-11-11,8.8,76.42857142857143
2012-11-18,9.785714285714286,77.71428571428571
2012-11-25,9.62857142857143,79.42857142857143
2012-12-02,4.042857142857143,69.85714285714286
2012-12-09,4.0285714285714285,80.71428571428571
2012-12-16,5.957142857142857,85.0
2012-12-23,8.471428571428572,89.28571428571429
2012-12-30,4.928571428571429,85.0
2013-01-06,4.5285714285714285,77.57142857142857
2013-01-13,3.7142857142857144,88.28571428571429
2013-01-20,5.971428571428571,80.42857142857143
2013-01-27,5.1,75.42857142857143
2013-02-03,5.771428571428571,74.71428571428571
2013-02-10,4.514285714285714,67.42857142857143
2013-02-17,5.742857142857143,74.14285714285714
2013-02-24,6.185714285714285,76.85714285714286
2013-03-03,3.685714285714286,67.0
2013-03-10,8.6,86.28571428571429
2013-03-17,5.5,69.0
2013-03-24,7.314285714285714,73.85714285714286
2013-03-31,9.714285714285714,84.28571428571429
2013-04-07,7.285714285714286,70.14285714285714
2013-04-14,11.385714285714286,70.85714285714286
2013-04-21,15.1,55.0
2013-04-28,11.814285714285715,53.857142857142854
2013-05-05,10.62857142857143,65.0
2013-05-12,16.728571428571428,55.42857142857143
2013-05-19,11.299999999999999,64.28571428571429
2013-05-26,13.614285714285714,54.57142857142857
2013-06-02,13.685714285714285,51.714285714285715
2013-06-09,17.32857142857143,48.714285714285715
2013-06-16,23.114285714285717,43.0
2013-06-23,19.271428571428572,44.285714285714285
2013-06-30,23.814285714285713,26.428571428571427
2013-07-07,27.714285714285715,28.571428571428573
2013-07-14,27.857142857142858,28.428571428571427
2013-07-21,27.014285714285712,30.714285714285715
2013-07-28,25.24285714285714,34.285714285714285
2013-08-04,26.042857142857144,26.428571428571427
2013-08-11,25.8,28.428571428571427
2013-08-18,27.771428571428572,32.0
2013-08-25,27.428571428571427,29.0
2013-09-01,22.400000000000002,41.57142857142857
2013-09-08,23.02857142857143,40.714285714285715
2013-09-15,21.52857142857143,37.0
2013-09-22,22.357142857142858,36.857142857142854
2013-09-29,21.342857142857145,52.285714285714285
2013-10-06,17.842857142857145,73.0
2013-10-13,15.428571428571429,57.714285714285715
2013-10-20,16.228571428571428,68.71428571428571
2013-10-27,14.285714285714286,79.28571428571429
2013-11-03,10.828571428571427,69.85714285714286
2013-11-10,11.957142857142857,79.28571428571429
